"OTU","Genus","Phylum","p_value","p_adj_BH","control","Asthma","in_top_panel"
"RSV_genus1240","Enhydrobacter","Proteobacteria",3.20107908585213e-05,4.57556527101212e-05,-0.252480592338409,-0.242530648090362,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.0013185050420171,0.00142801051127553,0.383926932647576,0.443157660333582,FALSE
"RSV_genus1243","Perlucidibaca","Proteobacteria",3.12929308455829e-05,4.57556527101212e-05,-0.253002115971749,-0.242530648090362,FALSE
"RSV_genus1244","Psychrobacter","Proteobacteria",2.98391460346976e-05,4.57556527101212e-05,-0.24622092304574,-0.232707600473323,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",4.30693053198843e-06,4.57556527101212e-05,-0.183755742343186,-0.134707368204335,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.00110751673049174,0.00120490828063645,0.560797594277792,0.62343845688767,FALSE
"RSV_genus1250","Oceanococcus","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1254","Leucothrix","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1256","Thiothrix","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",3.66124532177237e-05,4.79166914575817e-05,-0.17186472741002,-0.141111482212628,FALSE
"RSV_genus1258","Enterovibrio","Proteobacteria",3.69098454181159e-05,4.79166914575817e-05,-0.251687142223517,-0.242530648090362,FALSE
"RSV_genus1260","Photobacterium","Proteobacteria",5.98966844307378e-05,6.99761506969273e-05,-0.238512672526557,-0.234023564389505,FALSE
"RSV_genus1261","Vibrio","Proteobacteria",1.97385629205236e-05,4.57556527101212e-05,-0.244648109224001,-0.2326072417627,FALSE
"RSV_genus1263","Alkanibacter","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1264","Nevskia","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1265","Solimonas","Proteobacteria",3.24099605183587e-05,4.57556527101212e-05,-0.252389676578444,-0.242530648090362,FALSE
"RSV_genus1266","Aquimonas","Proteobacteria",3.86072426177553e-05,4.876438367295e-05,-0.251257726851398,-0.242530648090362,FALSE
"RSV_genus1267","Arenimonas","Proteobacteria",1.01266075430385e-05,4.57556527101212e-05,-0.247070074148596,-0.224490671629004,FALSE
"RSV_genus1268","Chiayiivirga","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1269","Dokdonella","Proteobacteria",4.15680776000116e-05,5.10345990890728e-05,-0.250703431184144,-0.242530648090362,FALSE
"RSV_genus1270","Dyella","Proteobacteria",3.47219028526593e-05,4.6920319492255e-05,-0.25201593600048,-0.242530648090362,FALSE
"RSV_genus1271","Frateuria","Proteobacteria",3.9276430744107e-05,4.94464833522866e-05,-0.251454958199699,-0.237194980533797,FALSE
"RSV_genus1272","Ignatzschineria","Proteobacteria",2.4916535613924e-05,4.57556527101212e-05,-0.25401179868196,-0.240415749388083,FALSE
"RSV_genus1273","Luteibacter","Proteobacteria",3.01642902136483e-05,4.57556527101212e-05,-0.246091841542039,-0.228009110632578,FALSE
"RSV_genus1274","Luteimonas","Proteobacteria",2.42114183662078e-05,4.57556527101212e-05,-0.245250592515631,-0.226071784432259,FALSE
"RSV_genus1275","Lysobacter","Proteobacteria",2.45439485125704e-05,4.57556527101212e-05,-0.249520966981,-0.230200223662393,FALSE
"RSV_genus1276","Mizugakiibacter","Proteobacteria",3.29650887762969e-05,4.60366290435985e-05,-0.25113722764281,-0.242530648090362,FALSE
"RSV_genus1278","Pseudofulvimonas","Proteobacteria",2.83687255252291e-05,4.57556527101212e-05,-0.25401179868196,-0.242530648090362,FALSE
"RSV_genus1279","Pseudoxanthomonas","Proteobacteria",2.68376124368285e-05,4.57556527101212e-05,-0.231889549402337,-0.229554185438569,FALSE
"RSV_genus1280","Rhodanobacter","Proteobacteria",3.76964838464018e-05,4.83380847400307e-05,-0.252811566756976,-0.242530648090362,FALSE
"RSV_genus1281","Silanimonas","Proteobacteria",2.32811983247951e-05,4.57556527101212e-05,-0.251758991462768,-0.239265330547934,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",9.89992142286139e-06,4.57556527101212e-05,0.0442495197106124,0.115063623147285,FALSE
"RSV_genus1283","Tahibacter","Proteobacteria",2.8945339938998e-05,4.57556527101212e-05,-0.252130958924522,-0.241087005135476,FALSE
"RSV_genus1284","Thermomonas","Proteobacteria",4.40706092410295e-05,5.33881740087092e-05,-0.240074978178043,-0.240415749388083,FALSE
