"OTU","Genus","Phylum","p_value","p_adj_BH","control","Colon.cancer","in_top_panel"
"RSV_genus882","Variibacter","Proteobacteria",0.143707627727271,0.186796757689188,-0.245769671929782,-0.217835215046443,FALSE
"RSV_genus883","Xanthobacter","Proteobacteria",0.139714973477697,0.186796757689188,-0.25265944177493,-0.217835215046443,FALSE
"RSV_genus884","Amaricoccus","Proteobacteria",0.139821748782368,0.186796757689188,-0.252006943789049,-0.217835215046443,FALSE
"RSV_genus885","Defluviimonas","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus886","Falsirhodobacter","Proteobacteria",0.139821748782368,0.186796757689188,-0.251799363856363,-0.217835215046443,FALSE
"RSV_genus887","Gemmobacter","Proteobacteria",0.140678213077156,0.186796757689188,-0.252212220232357,-0.217835215046443,FALSE
"RSV_genus888","Haematobacter","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus889","Maribius","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus890","Marivita","Proteobacteria",0.139821748782368,0.186796757689188,-0.253506957326854,-0.217835215046443,FALSE
"RSV_genus892","Nesiotobacter","Proteobacteria",0.139608260935849,0.186796757689188,-0.253506957326854,-0.217835215046443,FALSE
"RSV_genus893","Paenirhodobacter","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus894","Palleronia","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.210602172902038,0.233330765614772,-0.177008849374243,-0.217835215046443,FALSE
"RSV_genus896","Profundibacterium","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus897","Rhodobacter","Proteobacteria",0.153669491750532,0.186796757689188,-0.238494509427078,-0.217835215046443,FALSE
"RSV_genus898","Rubellimicrobium","Proteobacteria",0.146675989885266,0.186796757689188,-0.238763616341889,-0.217835215046443,FALSE
"RSV_genus899","Ruegeria","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
"RSV_genus900","Tabrizicola","Proteobacteria",0.138756817662452,0.186796757689188,-0.25401179868196,-0.217835215046443,FALSE
