"OTU","Genus","Phylum","p_value","p_adj_BH","control","Angina","in_top_panel"
"RSV_genus1056","Aquitalea","Proteobacteria",0.00103786081879979,0.00159587888504181,-0.253106880018526,-0.223097576429212,FALSE
"RSV_genus1057","Bergeriella","Proteobacteria",0.000737267286975192,0.00159587888504181,-0.249321020228995,-0.195298860014136,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.00260725082746132,0.00294268660643295,-0.205834661553284,-0.173147468408262,FALSE
"RSV_genus1059","Deefgea","Proteobacteria",0.00132213301522382,0.00167435480274408,-0.245879009261955,-0.223097576429212,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.232192275938109,0.238114289352046,1.00794292942497,0.974395794205903,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.0614231346797773,0.0648504649518437,2.52793432849566,1.98305399694533,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",0.012351826721297,0.0133626824955736,6.07733672418102,5.3012962538378,TRUE
"RSV_genus1064","Simonsiella","Proteobacteria",0.0889659250451904,0.0930142119919921,0.060471329813369,-0.13708295715279,FALSE
"RSV_genus1065","Snodgrassella","Proteobacteria",0.00103621908418276,0.00159587888504181,-0.252854459340974,-0.223097576429212,FALSE
"RSV_genus1066","Vitreoscilla","Proteobacteria",0.00027404197049716,0.00159587888504181,-0.25401179868196,-0.165849959497319,FALSE
"RSV_genus1067","Vogesella","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1068","Gallionella","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1070","Nitrosomonas","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1071","12up","Proteobacteria",0.00116198553232967,0.00159587888504181,-0.249936543056414,-0.223097576429212,FALSE
"RSV_genus1072","Azonexus","Proteobacteria",0.00103457975306806,0.00159587888504181,-0.252039438739424,-0.223097576429212,FALSE
"RSV_genus1073","Azospira","Proteobacteria",0.00135468932890952,0.00168420564585362,-0.234697314558131,-0.203293371270356,FALSE
"RSV_genus1074","Azovibrio","Proteobacteria",0.00100017404379313,0.00159587888504181,-0.25401179868196,-0.223097576429212,FALSE
"RSV_genus1075","Candidatus Accumulibacter","Proteobacteria",0.00105330016108254,0.00159587888504181,-0.249937721148465,-0.223097576429212,FALSE
