"OTU","Genus","Phylum","p_value","p_adj_BH","control","Emphysema","in_top_panel"
"RSV_genus1272","Ignatzschineria","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1273","Luteibacter","Proteobacteria",7.92570999427783e-06,9.53654631481061e-06,-0.246091841542039,-0.129914060003774,FALSE
"RSV_genus1274","Luteimonas","Proteobacteria",8.63740780333652e-07,8.36270470769503e-06,-0.245250592515631,-0.119161344862769,FALSE
"RSV_genus1275","Lysobacter","Proteobacteria",6.43945944389072e-06,8.45499025250447e-06,-0.249520966981,-0.21157767744101,FALSE
"RSV_genus1276","Mizugakiibacter","Proteobacteria",5.85615346533786e-06,8.45499025250447e-06,-0.25113722764281,-0.21157767744101,FALSE
"RSV_genus1278","Pseudofulvimonas","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
"RSV_genus1279","Pseudoxanthomonas","Proteobacteria",1.21853635422887e-06,8.45499025250447e-06,-0.231889549402337,-0.149005385940483,FALSE
"RSV_genus1280","Rhodanobacter","Proteobacteria",6.18046677039963e-06,8.45499025250447e-06,-0.252811566756976,-0.21157767744101,FALSE
"RSV_genus1281","Silanimonas","Proteobacteria",5.92304635317925e-06,8.45499025250447e-06,-0.251758991462768,-0.21157767744101,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",1.82764321154157e-05,2.0365770197894e-05,0.0442495197106124,0.240440656997431,FALSE
"RSV_genus1283","Tahibacter","Proteobacteria",4.61391359257608e-07,8.36270470769503e-06,-0.252130958924522,-0.111349801373889,FALSE
"RSV_genus1284","Thermomonas","Proteobacteria",7.62044637547504e-06,9.29153365130606e-06,-0.240074978178043,-0.21157767744101,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",7.16810675172622e-05,7.74605040920023e-05,-0.142847107143575,-0.120422379311894,FALSE
"RSV_genus1286","Xylella","Proteobacteria",5.49706048503662e-06,8.45499025250447e-06,-0.25401179868196,-0.21157767744101,FALSE
