"OTU","Genus","Phylum","p_value","p_adj_BH","Underweight","Healthy.weight","Overweight","Class.1.Obesity","Class.2.3.Obesity","in_top_panel"
"RSV_genus731","Megasphaera","Firmicutes",0.534814241386392,0.543258676776704,4.70864166598506,4.72093936316346,4.63211137818889,4.75346158747706,4.67997424657396,FALSE
"RSV_genus732","Mitsuokella","Firmicutes",0.331283265040914,0.433040287321931,-0.232423910571503,-0.24730638560058,-0.243456822083888,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus734","Negativicoccus","Firmicutes",0.348195638583758,0.433040287321931,-0.232423910571503,-0.243709233520012,-0.24012883712649,-0.245624150666127,-0.238249043517415,FALSE
"RSV_genus735","Selenomonas","Firmicutes",0.148569809084422,0.433040287321931,1.96325047884097,2.2660946457779,2.29038729781081,2.37118141020803,2.27583361211347,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.0123909415317805,0.421509148262296,3.39192898126355,3.62293855656616,3.52760335738144,3.52100244668654,3.34011454962859,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",0.513594802325288,0.524464533591432,0.600306535307241,0.65041597112148,0.709863401347236,0.691427125199092,0.718660989013285,FALSE
"RSV_genus738","Sporomusa","Firmicutes",0.346582962350639,0.433040287321931,-0.232423910571503,-0.247188378120455,-0.245302422642032,-0.245929221792799,-0.246818844238332,FALSE
"RSV_genus739","Thermosinus","Firmicutes",0.327803074953534,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.243386587963171,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.00324370635267535,0.145948547827888,7.75383444021782,7.78354206074027,7.72446630316353,7.86382516656353,7.86839345157517,FALSE
"RSV_genus741","Cetobacterium","Fusobacteria",0.356031129088921,0.433040287321931,-0.178953329617017,-0.208529363517432,-0.237046775856013,-0.23123733642945,-0.231520939655872,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",0.366532779777745,0.433040287321931,6.63498437403125,6.79588132599053,6.76542631439567,6.8643919112992,6.80474909073901,FALSE
"RSV_genus744","Psychrilyobacter","Fusobacteria",0.331087260249024,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.24506181716467,FALSE
"RSV_genus746","Leptotrichia","Fusobacteria",0.0667489402905772,0.433040287321931,5.88747556203062,6.31736040088083,6.36706979113359,6.38981824637902,6.23528033569553,FALSE
"RSV_genus748","Sebaldella","Fusobacteria",0.337338041948219,0.433040287321931,-0.232423910571503,-0.244575312652246,-0.246368981894805,-0.248994303190356,-0.242276995140162,FALSE
"RSV_genus749","Sneathia","Fusobacteria",0.0296900977977037,0.433040287321931,0.137077347732645,-0.00180904145524119,-0.0225156334889885,-0.0460965872454909,0.00443443943578005,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.00577341570443818,0.214282544414725,1.10625636736888,0.959944176164496,0.706119971919907,0.774982778057939,0.839770236531868,FALSE
"RSV_genus754","Gemmatimonas","Gemmatimonadetes",0.406894741878755,0.440688469038158,-0.232423910571503,-0.228499578723113,-0.234519765524167,-0.240813782358066,-0.237640032629642,FALSE
"RSV_genus762","Victivallis","Lentisphaerae",0.380594360332873,0.433040287321931,-0.232423910571503,-0.24250887082068,-0.242985320215613,-0.242717639506079,-0.246818844238332,FALSE
"RSV_genus768","Nitrospira","Nitrospirae",0.337268585421343,0.433040287321931,-0.232423910571503,-0.244860020670236,-0.245640941942076,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus776","AKYG587","Planctomycetes",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus778","SM1A02","Planctomycetes",0.343021919617222,0.433040287321931,-0.232423910571503,-0.244556550492458,-0.245640941942076,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus779","Urania-1B-19 marine sediment group","Planctomycetes",0.333496519480481,0.433040287321931,-0.232423910571503,-0.24533582091597,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus782","CPla-4 termite group","Planctomycetes",0.33224476774926,0.433040287321931,-0.232423910571503,-0.246179870277059,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
"RSV_genus783","Gemmata","Planctomycetes",0.349898213266379,0.433040287321931,-0.232423910571503,-0.236541602615934,-0.24142498566828,-0.248994303190356,-0.232264114183832,FALSE
"RSV_genus784","Isosphaera","Planctomycetes",0.367623162156378,0.433040287321931,-0.232423910571503,-0.245317587338645,-0.246368981894805,-0.247829284856668,-0.246818844238332,FALSE
"RSV_genus786","Pir4 lineage","Planctomycetes",0.327922776947812,0.433040287321931,-0.197122539318785,-0.233544823886401,-0.222121730210021,-0.244176387196432,-0.238677846819405,FALSE
"RSV_genus787","Pirellula","Planctomycetes",0.35720638146309,0.433040287321931,-0.223907536240742,-0.223670042053711,-0.239778070959592,-0.237692761866782,-0.237770850575537,FALSE
"RSV_genus788","Planctomyces","Planctomycetes",0.422825560942969,0.451856773322221,-0.232423910571503,-0.21453091573365,-0.228624852943946,-0.23024436784018,-0.231069333295904,FALSE
"RSV_genus789","Rhodopirellula","Planctomycetes",0.366584881886445,0.433040287321931,-0.232423910571503,-0.240530778735984,-0.245079445679393,-0.245056262822695,-0.246818844238332,FALSE
"RSV_genus790","Rubripirellula","Planctomycetes",0.331402485266215,0.433040287321931,-0.232423910571503,-0.248796731939088,-0.246368981894805,-0.248994303190356,-0.246818844238332,FALSE
