"VARNAME","Metric","LEVEL","group_mean","group_N","REF_LEVEL","group_mean-REF_group_mean","wilcox_effsize","wilcox_p_val","wilcox_p_FDR"
"BMI_category","Beta Diversity ( Unwunifrac )","Overweight",0.445247159439322,2817,"Healthy weight",0.000332612659201426,-0.808489636758559,0.925712627078838,0.925712627078838
"BMI_category","Beta Diversity ( Unwunifrac )","Underweight",0.448712623961513,268,"Healthy weight",0.0037980771813923,-0.0378130312818894,0.801974381356492,0.925712627078838
"BMI_category","Beta Diversity ( Wunifrac )","Class 1 Obesity",0.280505478777234,1743,"Healthy weight",0.00111575069691294,-0.470062252996637,0.426871919237639,0.426871919237639
"BMI_category","Beta Diversity ( Wunifrac )","Class 2-3 Obesity",0.281619259559351,1429,"Healthy weight",0.00222953147902982,-0.359672339015992,0.123499871069284,0.164666494759046
"BMI_category","Beta Diversity ( Wunifrac )","Healthy weight",0.279389728080321,3021,"Healthy weight",0,NA,NA,NA
"BMI_category","Beta Diversity ( Wunifrac )","Overweight",0.286172179631832,2817,"Healthy weight",0.00678245155151125,-0.739384848513091,2.13914997805648e-07,8.55659991222591e-07
"BMI_category","Beta Diversity ( Wunifrac )","Underweight",0.285759431245682,268,"Healthy weight",0.00636970316536073,-0.000706895010500517,0.0173680443417661,0.0347360886835322
"Blood_pressure","Beta Diversity ( Braycurtis )","Elevated",0.54038624415485,1410,"Normal",0.0112470286174077,-0.130677795244416,4.0951822933705e-09,5.46024305782734e-09
"Blood_pressure","Beta Diversity ( Braycurtis )","Normal",0.529139215537443,4964,"Normal",0,NA,NA,NA
"Blood_pressure","Beta Diversity ( Braycurtis )","Hypertension Stage 1",0.542788061442971,1583,"Normal",0.0136488459055278,-0.145632878953267,1.80262898208458e-13,3.60525796416916e-13
"Blood_pressure","Beta Diversity ( Braycurtis )","Hypertension Stage 2",0.545687604012825,1042,"Normal",0.0165483884753826,-0.0276907093655403,1.42488420056865e-17,5.6995368022746e-17
