"OTU","Genus","Phylum","p_value","p_adj_BH","control","Breast.cancer","in_top_panel"
"RSV_genus746","Leptotrichia","Fusobacteria",0.704927794780053,0.913320467042266,0.0190211871010909,0.0189748815151515,FALSE
"RSV_genus749","Sneathia","Fusobacteria",0.328969261647131,0.719679584027052,4.43542414545454e-05,0.000212310818181818,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.00259782691959916,0.0878065498824516,0.000648898389818181,1.9518303030303e-05,FALSE
"RSV_genus795","Brevundimonas","Proteobacteria",0.391350655775596,0.760209894552595,5.71606098181818e-05,0,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.965078400765292,0.970822915055562,9.49002363636364e-05,7.34409090909091e-06,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.74249970617958,0.932882917241449,0.000158459832363636,1.16363636363636e-06,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.326774743533766,0.719679584027052,0.000337193112727273,0,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.616751127361205,0.894741742263759,1.25413410909091e-05,1.56060606060606e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.901107699629959,0.952770488915509,3.53887563636363e-05,6.5059e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.685146736928834,0.913320467042266,3.78155258181818e-05,2.66969696969697e-06,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.000362511730957739,0.0242065052089464,0.000185751747272727,0.00310662833333333,TRUE
"RSV_genus990","Sutterella","Proteobacteria",0.56066889574447,0.854841312064132,2.20930981818182e-06,0,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.656999116917864,0.910105334091139,0.000173583443272727,7.33081818181818e-06,FALSE
"RSV_genus993","Lautropia","Proteobacteria",0.0381942411533742,0.293401216132738,0.001278580856,0.000706384242424242,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.918944317711408,0.952770488915509,0.000707574714909091,0.000101812181818182,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.561463820349814,0.854841312064132,5.98678618181818e-05,3.84429393939394e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.876086224978795,0.952770488915509,0.000613573213818181,0.000198395424242424,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.755182060273951,0.932882917241449,0.00036777288,0.00220820318181818,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.434806440775555,0.773497773590198,6.36604872727273e-06,0,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.491284156206831,0.79456364615185,1.78442665454545e-05,0,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.474855216000847,0.787905312702162,8.66322992727274e-05,4.94510303030303e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.474809341928435,0.787905312702162,6.99516072727273e-06,0,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.226608150991152,0.671873289780785,0.000323729153818182,0.000142438333333333,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.376287274103226,0.753800037623458,0.000606594229090909,0.000585331787878788,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",0.596409312407102,0.884150647340353,0.0258712847454546,0.0245367641212121,FALSE
"RSV_genus1064","Simonsiella","Proteobacteria",0.0770003001483803,0.406657835158633,6.26230661818182e-05,0,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.774892705295866,0.932882917241449,0.0001319372,6.37690909090909e-05,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.333236030463606,0.719679584027052,3.05048181818182e-06,0,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.407967044949463,0.76607145107177,1.63779749090909e-05,0,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",0.304362712954035,0.719679584027052,0.000125077313818182,0.000382223696969697,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",0.328737063305696,0.719679584027052,4.53401767272727e-05,8.9243393939394e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.883566624320763,0.952770488915509,1.79964970909091e-05,7.03015757575758e-05,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",0.58562257797929,0.879539512513639,2.51691185454545e-05,5.11818181818182e-06,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",0.693308951450395,0.913320467042266,0.00522610350327273,0.00556134639393939,FALSE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.350112064049224,0.730480726226159,1.26627621818182e-05,0,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",0.529511606819437,0.833395118691841,2.05877636363636e-05,3.76363636363636e-06,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",0.102725535942539,0.469205826332139,0.000902975710545455,0.000290891454545455,FALSE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.913166090413332,0.952770488915509,0.00109018026509091,0.00451732972727273,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.927216831452334,0.955485637289296,0.000192039179636364,9.037e-06,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.893791269590686,0.952770488915509,0.000129070325090909,0.000141360515151515,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",0.0652126240362853,0.380032188349387,0.00499902861127272,0.001770822,FALSE
"RSV_genus1229","Aggregatibacter","Proteobacteria",0.00647800735211474,0.121642582500821,0.00551861014181818,0.00312975172727273,FALSE
"RSV_genus1233","Haemophilus","Proteobacteria",0.0288515576189796,0.25662701250566,0.0555108643807273,0.0408779521515151,FALSE
"RSV_genus1234","Mannheimia","Proteobacteria",0.067643458017793,0.380190458795282,0.00132115482945455,0.000243696121212121,FALSE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.0411981032797776,0.302716498012279,0.000596372760727273,0.0160795880606061,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.330972616089234,0.719679584027052,0.000362360277090909,0.00236075963636364,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.77333800519696,0.932882917241449,2.19492832727273e-05,5.5339696969697e-06,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.177299131003827,0.576222175762437,0.000832889365090909,0.00162479260606061,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.876448392954962,0.952770488915509,2.59915752727273e-05,1.17734242424242e-05,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.636352309033771,0.894741742263759,0.000299240845818182,0.0129545171515152,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.744559067507288,0.932882917241449,1.93310607272727e-05,7.14375757575758e-06,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.305709612460315,0.719679584027052,3.56427647272728e-05,3.38157272727273e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",0.027384499860934,0.25662701250566,0.00512502302581818,0.00334533190909091,FALSE
"RSV_genus1309","Fretibacterium","Synergistetes",0.141917786001061,0.527197863441126,0.000649293977454547,0.000697660424242424,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",0.799772231934818,0.932882917241449,1.68612767272727e-05,5.05977272727273e-05,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.117868417638689,0.487114165338857,0.000340735167272727,0.000233413757575758,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",0.0259184598195812,0.25662701250566,0.000790758004363636,0.00088966396969697,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.430160798708334,0.773497773590198,9.28237527272727e-06,0,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.404057173083582,0.76607145107177,0.000194986858909091,7.6969696969697e-07,FALSE
