"OTU","Genus","Phylum","p_value","p_adj_BH","College.AA","X..9th.Grade","X9.11th.Grade","High.School","College.Graduate","in_top_panel"
"RSV_genus993","Lautropia","Proteobacteria",8.44354903693784e-11,2.64251812452314e-10,0.00122167388050571,0.00164744231497418,0.00138245652577798,0.00118222822492244,0.00157255227621484,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.00728555784636104,0.0129606239582633,0.000159509955954323,0.000103498899311532,0.000512452198792383,0.000381971190279214,8.96065396419437e-05,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.233486760646022,0.3131687503903,3.14136256117455e-05,3.44924440619621e-05,3.53754835113795e-05,2.81007497414685e-05,2.77758762148338e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.097265636534619,0.142938196298701,0.000388560267128875,0.000297155739242685,0.000452007123084068,0.000238188150465357,0.000326913979028133,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.0789507419552025,0.11807677336663,0.000173934707993475,0.000107909768502582,4.12714189503019e-05,0.000425626046535677,2.65694992327366e-05,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.222867154067757,0.308725811782384,3.4939836867863e-06,3.96785111876076e-06,3.49983929400836e-06,2.74131851085833e-06,4.90275703324808e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.204382362209373,0.295218967635761,8.11739641109298e-06,2.17921772805508e-05,3.15557268927078e-06,1.5664265770424e-05,1.76621125319693e-06,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.00155136964267885,0.00294585920913175,9.30101610929853e-05,6.59755129087779e-05,5.79108522991175e-05,6.28831556359876e-05,8.81367616368287e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.401383781908006,0.477703233397557,6.32913499184339e-06,1.41047796901893e-05,1.35034463539248e-05,5.00749120992761e-06,1.06727462915601e-05,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",1.09827201759257e-07,2.61419677426965e-07,0.000165444598694943,0.000286221574010327,0.000195520998142127,0.000288767414684591,0.000199904336061381,FALSE
"RSV_genus1061","Kingella","Proteobacteria",1.08140216729523e-10,3.32285393223443e-10,0.000553445323409461,0.000431474231497418,0.000490589583372039,0.000510786695966908,0.000823247997953964,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",1.02302336022017e-36,4.32227369693024e-35,0.0243287152626428,0.0303968459612736,0.0246883012610311,0.0227558192849018,0.0320373273207161,TRUE
"RSV_genus1064","Simonsiella","Proteobacteria",0.0218407507333315,0.0361871262150297,5.54111402936378e-05,3.10286273666093e-05,5.62734328843474e-05,4.53218133402275e-05,4.44630281329923e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.862865809921776,0.878459770342049,3.7415263050571e-05,0.000101617842512909,0.000184747980492336,7.14400072388831e-05,2.59716501278772e-05,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.22233950323846,0.308725811782384,2.29504853181077e-06,2.06046557659208e-06,2.84760798885276e-06,1.68776525336091e-06,2.18266445012788e-06,FALSE
