"OTU","Genus","Phylum","p_value","p_adj_BH","Today","Yesterday","X3.5.days.ago","in_top_panel"
"RSV_genus262","Prevotella 6","Bacteroidetes",0.0472843223627365,0.126842071100039,0.0056340010013089,0.00588731569756098,0.00577097283098592,FALSE
"RSV_genus263","Prevotella 7","Bacteroidetes",0.086481302659633,0.200210139033945,0.0802364691256545,0.0885585416780488,0.0850163136478873,FALSE
"RSV_genus264","Prevotella 9","Bacteroidetes",0.467978079765707,0.688086431208859,0.000232939344240838,0.00141049990731707,6.22496901408451e-05,FALSE
"RSV_genus271","Alistipes","Bacteroidetes",0.0150115172207252,0.0497440472608345,2.17323416230367e-05,3.9349512195122e-05,0.000126137521126761,FALSE
"RSV_genus274","Rikenellaceae RC9 gut group","Bacteroidetes",0.855135511981728,0.927738959569969,4.63923861256545e-05,3.30351170731707e-05,2.44579014084507e-05,FALSE
"RSV_genus318","Bergeyella","Bacteroidetes",1.26593281301012e-08,2.1394264539871e-07,0.00184092205235602,0.00293582204878049,0.00492578945070423,TRUE
"RSV_genus319","Capnocytophaga","Bacteroidetes",0.000127303613793233,0.000977923215048013,0.00195785959293194,0.00235836570731707,0.00235137961971831,TRUE
"RSV_genus320","Chryseobacterium","Bacteroidetes",0.21980827261878,0.412751089695264,4.78926439790576e-06,7.74986146341463e-05,0,FALSE
"RSV_genus322","Cloacibacterium","Bacteroidetes",0.840421271620201,0.927738959569969,0.00115990239659686,0.000408073580487805,0.00034655914084507,FALSE
"RSV_genus326","Flavobacterium","Bacteroidetes",0.860488635056817,0.927738959569969,1.42545183246073e-05,1.05917365853659e-05,4.01408450704225e-07,FALSE
"RSV_genus475","Gemella","Firmicutes",7.37512413354664e-09,1.38488442063265e-07,0.0309816798049738,0.0395601174195122,0.047925943084507,TRUE
"RSV_genus494","Staphylococcus","Firmicutes",0.839951311719448,0.927738959569969,0.00061513,0.000110394219512195,8.84754788732394e-05,FALSE
"RSV_genus499","Abiotrophia","Firmicutes",4.49886871260735e-08,6.91189829482402e-07,0.000959410887434555,0.00135686555609756,0.00156633945070422,TRUE
