"OTU","Genus","Phylum","p_value","p_adj_BH","control","Lung.cancer","in_top_panel"
"RSV_genus749","Sneathia","Fusobacteria",0.614097509706498,0.914468534261934,4.43542414545454e-05,0,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.301515472783861,0.914468534261934,0.000648898389818181,0,FALSE
"RSV_genus795","Brevundimonas","Proteobacteria",0.797047070176255,0.914468534261934,5.71606098181818e-05,0,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.76535126131778,0.914468534261934,9.49002363636364e-05,0,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.722101964385584,0.914468534261934,0.000158459832363636,0,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.76832462493272,0.914468534261934,0.000337193112727273,0,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.814928366812458,0.914468534261934,1.25413410909091e-05,0,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.637975567086894,0.914468534261934,3.53887563636363e-05,0,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.805781218488147,0.914468534261934,3.78155258181818e-05,0,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.741464095355828,0.914468534261934,0.000185751747272727,0,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.86222513132594,0.914468534261934,2.20930981818182e-06,0,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.0623301322524226,0.585210686147745,0.000173583443272727,5.82876666666667e-05,FALSE
"RSV_genus993","Lautropia","Proteobacteria",0.0933204904561652,0.788558144354596,0.001278580856,7.1808e-05,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.925241265890957,0.965220826762789,0.000707574714909091,0.000143477333333333,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",0.476284454244706,0.914468534261934,5.98678618181818e-05,0.000215215666666667,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.45667268333613,0.914468534261934,0.000613573213818181,0,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.0108915464432195,0.517352489761339,0.00036777288,0.000181914,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.814928366812458,0.914468534261934,6.36604872727273e-06,0,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.836851643062912,0.914468534261934,1.78442665454545e-05,0,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.345672852727014,0.914468534261934,8.66322992727274e-05,0,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.830590481348016,0.914468534261934,6.99516072727273e-06,0,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.154454603095297,0.914468534261934,0.000323729153818182,0.000330049333333333,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.807458439409402,0.914468534261934,0.000606594229090909,0.000315553666666667,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",0.81918084844365,0.914468534261934,0.0258712847454546,0.0479516073333333,FALSE
"RSV_genus1064","Simonsiella","Proteobacteria",0.594199295854143,0.914468534261934,6.26230661818182e-05,0,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.611441077351755,0.914468534261934,0.0001319372,0,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.771336891151107,0.914468534261934,3.05048181818182e-06,0,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.804003149155706,0.914468534261934,1.63779749090909e-05,0,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",0.273825521649199,0.914468534261934,0.000125077313818182,0,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",0.614097510175145,0.914468534261934,4.53401767272727e-05,0,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.774389612711705,0.914468534261934,1.79964970909091e-05,0,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",0.529072442098078,0.914468534261934,2.51691185454545e-05,0,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",0.376246640948045,0.914468534261934,0.00522610350327273,0.00278635833333333,FALSE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.779048204352984,0.914468534261934,1.26627621818182e-05,0,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",0.59000876261349,0.914468534261934,2.05877636363636e-05,0,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",0.851225560327829,0.914468534261934,0.000902975710545455,0.000272603,FALSE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.511124966929103,0.914468534261934,0.00109018026509091,0.000121059,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.748252426321518,0.914468534261934,0.000192039179636364,0,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.250245199019029,0.914468534261934,0.000129070325090909,8.51896666666667e-05,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",0.0397963453662568,0.517352489761339,0.00499902861127272,0,FALSE
"RSV_genus1229","Aggregatibacter","Proteobacteria",0.0333994834801522,0.517352489761339,0.00551861014181818,0,FALSE
"RSV_genus1233","Haemophilus","Proteobacteria",0.97188234543248,0.977667359393388,0.0555108643807273,0.0553369663333333,FALSE
"RSV_genus1234","Mannheimia","Proteobacteria",0.282161243966626,0.914468534261934,0.00132115482945455,0,FALSE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.705710564857978,0.914468534261934,0.000596372760727273,8.51896666666667e-05,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.392922131009891,0.914468534261934,0.000362360277090909,0,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.793657248570834,0.914468534261934,2.19492832727273e-05,0,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.77051375434701,0.914468534261934,0.000832889365090909,7.17386666666667e-05,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.777484445385329,0.914468534261934,2.59915752727273e-05,0,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.56891789493036,0.914468534261934,0.000299240845818182,0,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.695953898794879,0.914468534261934,1.93310607272727e-05,0,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.958531639676104,0.975854500634106,3.56427647272728e-05,1.91333333333333e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",0.148695492402575,0.914468534261934,0.00512502302581818,0.00113456833333333,FALSE
"RSV_genus1309","Fretibacterium","Synergistetes",0.329505244327271,0.914468534261934,0.000649293977454547,0.000124467333333333,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",0.0318194790250918,0.517352489761339,1.68612767272727e-05,2.87333333333333e-05,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",0.517757158284055,0.914468534261934,0.000340735167272727,0,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",0.581748017794989,0.914468534261934,0.000790758004363636,0.00569583766666667,FALSE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.813063033059633,0.914468534261934,9.28237527272727e-06,0,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.649567869271479,0.914468534261934,0.000194986858909091,0,FALSE
