"OTU","Genus","Phylum","p_value","p_adj_BH","Male.58.82cm..Female.58.80cm","Male.83.92cm..Female.81.89cm","Male.93.100cm..Female.90.97cm","Male.101.110cm..Female.98.109cm","Male.111.179cm..Female.110.165cm","in_top_panel"
"RSV_genus750","Streptobacillus","Fusobacteria",4.93198992080216e-05,0.000278809632871012,0.00108811075735294,0.00063588921691974,0.000531384240681576,0.000541607638860631,0.00072006432562814,TRUE
"RSV_genus795","Brevundimonas","Proteobacteria",0.056074136360757,0.126353720599572,7.95322668067227e-05,0.000328475161605206,2.93546698615548e-05,7.43136113936928e-06,0.00022473608040201,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.0827989535532771,0.174912789381298,1.38002909663866e-05,7.44487537960954e-05,0.000174700645367412,6.73107324516785e-06,0.000166950890452261,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.503468342876462,0.642566292087425,0.000178216526260504,0.00018898536659436,0.000224017682641108,5.67020803662258e-05,0.000124479447236181,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.125512173630739,0.238332104984212,1.44585966386555e-05,4.45428123644252e-05,0.000945820220447284,4.74804679552391e-06,1.00024914572864e-05,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.10424938866237,0.202507433148742,4.64184033613445e-06,1.69062386117137e-05,8.74071033013845e-06,2.45183641912513e-05,3.24944422110553e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.491209378846064,0.633697595610572,2.34373550420168e-05,4.27740422993492e-05,4.05440766773163e-05,3.56758392675483e-05,3.35474934673367e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.47085819882306,0.621679965633572,8.93418487394958e-06,3.51499934924078e-05,5.41522662406816e-05,1.31590925737538e-05,1.07578170854271e-05,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.424242087912834,0.599469716489636,2.51115945378151e-05,0.000277115870932755,0.000195921435569755,0.000270581676500509,7.88889306532663e-05,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.87568699951545,0.912841775588384,7.60099369747899e-06,1.95441431670282e-06,7.72052928647497e-06,1.13190478128179e-05,7.30437587939698e-06,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",1.00000619787524e-05,8.89479197057454e-05,0.000356706901260504,0.000141470042299349,8.11922151224707e-06,0.000279083197355036,1.36815708542714e-05,TRUE
"RSV_genus993","Lautropia","Proteobacteria",7.43729695791882e-08,1.04741932157357e-06,0.00185595440546218,0.00143370217028199,0.00128359784025559,0.0011238074069176,0.00115062232060302,TRUE
"RSV_genus998","Ralstonia","Proteobacteria",8.11780032626636e-21,1.37190825513901e-18,0.000188115846638656,0.000950547781995662,0.000656667422790202,0.000425686501525941,0.000295044042211055,TRUE
"RSV_genus1007","Curvibacter","Proteobacteria",1.93411297874687e-06,2.04290683380138e-05,8.03856481092437e-05,7.66725043383948e-05,6.31282726304579e-05,4.91577751780264e-05,4.05934984924623e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.037802271996779,0.0967967267796312,0.000541606254201681,0.000747638636659436,0.000493624993610224,0.00069463822380468,0.000296082370854272,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.283894939570364,0.43616586170356,7.81969600840336e-05,0.000291751785249458,0.00043517457827476,0.000218518358087487,8.35076271356784e-05,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.808988128249493,0.868989536625445,4.85217962184874e-06,1.82737917570499e-05,4.3324696485623e-06,4.55285859613428e-06,3.52499095477387e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.951533965933818,0.968730362908525,4.38424579831933e-06,2.13539479392625e-06,2.49632960596379e-05,9.96971688708037e-05,7.27196582914573e-06,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.277571226879704,0.430362727914404,6.74675409663866e-05,8.89904793926247e-05,7.81148732694356e-05,7.6461987792472e-05,9.43789226130653e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.183911227665713,0.324276435120152,8.36022478991597e-06,8.74740780911063e-06,1.91390734824281e-06,1.22950356052899e-05,1.06550050251256e-05,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.429245146707326,0.599524213169736,0.000269048537815126,0.000161595813449024,0.000285758123535676,0.000418209383519837,0.000199951509547739,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.000157829271639425,0.00074092074741841,0.000670065517857142,0.00062835327548807,0.000535752132055378,0.000653914934893184,0.000583125652261306,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",0.581123329702576,0.701498876569539,0.0253111229569328,0.0272964019219089,0.0263476978381257,0.026498493584944,0.0264149644713568,FALSE
"RSV_genus1064","Simonsiella","Proteobacteria",0.216216418944293,0.361787869322629,4.8957656512605e-05,7.11593470715835e-05,4.91161150159744e-05,5.87938494404883e-05,7.17053778894472e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.433591031667926,0.60063019960557,0.00018632618697479,0.000193993170281996,0.000149564489882854,0.000174507667344863,5.80450120603015e-05,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.938148154996627,0.960891140572303,2.46178466386555e-06,2.31149457700651e-06,3.10573375931842e-06,3.30473855544252e-06,1.54598190954774e-06,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.0853886518842911,0.175343988124727,6.20193067226891e-06,3.00247711496746e-05,3.75133013844515e-06,1.73634638860631e-05,3.60293567839196e-06,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",4.39483898937772e-13,1.85681947301208e-11,5.66234884453781e-05,0.000101879889370933,0.000145945922257721,0.000118688,0.000120973445226131,FALSE
