"OTU","Genus","Phylum","p_value","p_adj_BH","control","Diabetes","in_top_panel"
"RSV_genus795","Brevundimonas","Proteobacteria",0.300384347122391,0.473117603434431,5.71606098181818e-05,0.000502683227272727,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.034351041217856,0.101043750552338,9.49002363636364e-05,3.66918801652893e-05,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.834899128072115,0.908631528161491,0.000158459832363636,0.000253508390495868,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.490717487590456,0.663450043222297,0.000337193112727273,0.000114211080578512,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.0239019549833246,0.077681353695805,1.25413410909091e-05,6.33059090909091e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.203701845892996,0.393932287941705,3.53887563636363e-05,3.09029504132231e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.933453050956126,0.961911985436495,3.78155258181818e-05,1.56746962809917e-05,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.481688689293997,0.660924415280885,0.000185751747272727,0.000110110541322314,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.653439536751567,0.794469652597229,2.20930981818182e-06,4.04713842975207e-06,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.0228472814690304,0.0757096189856104,0.000173583443272727,6.40064669421488e-06,FALSE
"RSV_genus993","Lautropia","Proteobacteria",0.0554704257361991,0.148801618244724,0.001278580856,0.00137442155165289,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",0.000631631064721216,0.00533728249689427,0.000707574714909091,0.000100378123966942,TRUE
"RSV_genus1007","Curvibacter","Proteobacteria",0.00156427755717472,0.00911596231594925,5.98678618181818e-05,3.86386611570248e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.866087212285539,0.926384423267443,0.000613573213818181,0.000403809898760331,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.484938624229762,0.660924415280885,0.00036777288,0.000135784111570248,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.719253825644294,0.838302734716453,6.36604872727273e-06,2.91031611570248e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.967560933204225,0.974540122394163,1.78442665454545e-05,3.63582231404959e-06,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",0.0010354002863139,0.00795375674486585,8.66322992727274e-05,8.04950103305785e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.23308270106074,0.420877942327768,6.99516072727273e-06,4.20332603305785e-05,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.521926003097826,0.689105425965099,0.000323729153818182,0.000206062260330579,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.00272568657212272,0.0135482656084923,0.000606594229090909,0.000731546679752066,TRUE
"RSV_genus1063","Neisseria","Proteobacteria",0.191616470855909,0.387924033008267,0.0258712847454546,0.0323759396446281,FALSE
"RSV_genus1064","Simonsiella","Proteobacteria",0.000186978511128222,0.00225709774147639,6.26230661818182e-05,4.98550888429752e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.744680318116264,0.850344417308436,0.0001319372,0.000185572915289256,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.241480678790649,0.429581418059154,3.05048181818182e-06,1.03946280991736e-06,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.0674143672202458,0.172621637276084,1.63779749090909e-05,1.24321900826446e-06,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",0.254982194026059,0.442440776939391,0.000125077313818182,0.000108936208677686,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",0.838736795225992,0.908631528161491,4.53401767272727e-05,5.17473202479339e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.999624281950513,0.999624281950513,1.79964970909091e-05,1.02575475206612e-05,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",0.4598726682961,0.642301495388768,2.51691185454545e-05,1.9998729338843e-05,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",0.00249524690060687,0.01317802269383,0.00522610350327273,0.00465542803099174,TRUE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",0.0748088057620521,0.18592188490863,1.26627621818182e-05,7.36642768595041e-06,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",2.94164064176097e-05,0.000450225494729075,2.05877636363636e-05,5.63710950413223e-06,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",0.00139888650007451,0.00844327923259258,0.000902975710545455,0.000475631030991736,TRUE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.287539788461961,0.462802135714966,0.00109018026509091,0.000448372855371901,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.456843630968156,0.642301495388768,0.000192039179636364,1.00504276859504e-05,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.57873123113025,0.724485763414906,0.000129070325090909,0.000124944654958678,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",9.26979428886006e-07,5.48182811334206e-05,0.00499902861127272,0.00443363641322314,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",0.0287269454613932,0.090181497539082,0.00551861014181818,0.00580327530165289,FALSE
"RSV_genus1233","Haemophilus","Proteobacteria",0.000263587871445172,0.00296975668494893,0.0555108643807273,0.0494043898057851,TRUE
"RSV_genus1234","Mannheimia","Proteobacteria",0.0873643752531599,0.210226854385836,0.00132115482945455,0.00129894830991736,FALSE
