"OTU","Genus","Phylum","p_value","p_adj_BH","X30.39","X14.19","X20.29","X40.49","X50.59","X60.69","in_top_panel"
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",5.3202750597959e-05,9.26934520727328e-05,2.02103641791045e-06,5.68016568047337e-07,1.15948050458716e-06,1.20307108721625e-06,1.21552131147541e-06,1.60104288499025e-06,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",1.36238168376109e-59,1.00105436763315e-58,8.43622734328358e-05,3.93531112426035e-05,0.000102752004013762,7.22100358422939e-05,4.80989095081967e-05,3.52591098115659e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.54324793760793,0.604005930629869,5.46838029850746e-06,3.96324171597633e-05,4.6780372706422e-06,1.17793261648746e-05,9.67052590163934e-06,1.57643008447044e-05,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.00689102678434799,0.0110912716814744,0.00291102620298508,0.00309311207396449,0.0031767593027523,0.00276142990800478,0.00295673255540984,0.00312255695646524,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.182698133355184,0.23750757336174,1.22089074626866e-05,5.95669420118343e-05,2.09653818807339e-05,2.34025089605735e-05,1.4989313442623e-05,2.66120240415854e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",2.33560977444179e-71,2.07746343095086e-70,0.000998331145671644,0.000344053886390532,0.000922520598623854,0.000925332751493429,0.000994561730491805,0.00078761955945419,FALSE
"RSV_genus728","Centipeda","Firmicutes",3.62770381156072e-07,7.12885981574141e-07,6.18066579104477e-05,3.65177674556213e-05,6.33078205275229e-05,8.80222765830347e-05,7.0139955409836e-05,2.77645360623782e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",2.51599484657588e-52,1.70081251628529e-51,0.00263501470089552,0.00149530352189349,0.00281677334116972,0.00251783382497013,0.00207038327278688,0.00194599752696556,TRUE
"RSV_genus731","Megasphaera","Firmicutes",1.57992829996235e-09,3.37984661637515e-09,0.00503014373552239,0.00456587088461538,0.00488956620240826,0.0052370921553166,0.00558516466163935,0.00612292392917479,TRUE
"RSV_genus735","Selenomonas","Firmicutes",3.69630768344633e-27,1.17863395943855e-26,0.000829706955820894,0.000386899973372781,0.000709329936926606,0.000766564677419355,0.000692957293114755,0.000591056818713451,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",0.0235030121102467,0.0351505225365637,0.0016070036322388,0.0014216160331361,0.00150196517889908,0.00153061851612903,0.00152122413442623,0.001387871208577,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",9.57749024106449e-38,4.15024577112795e-37,0.000119712262089552,4.45627887573965e-05,0.000122481394495413,0.000112337674432497,8.37787960655738e-05,7.26092157244965e-05,FALSE
"RSV_genus740","Veillonella","Firmicutes",3.87094961586794e-05,6.81448421960085e-05,0.0585555801110448,0.0610950916597633,0.0598463463021789,0.0579097524814814,0.0615024311285247,0.062500432205328,TRUE
"RSV_genus742","Fusobacterium","Fusobacteria",1.00406933943281e-11,2.38996786428372e-11,0.0282971668931343,0.025131875291716,0.0292428237517202,0.0282760676804062,0.0269699133816393,0.0246309502664067,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",4.36161291545667e-07,8.47255842197905e-07,0.0184580769026866,0.0171993488573964,0.0172771462110091,0.0183534905955794,0.0202030351003279,0.0214129132560104,TRUE
"RSV_genus749","Sneathia","Fusobacteria",3.87469678979853e-11,8.84896969562096e-11,4.34814298507463e-05,4.78210384615385e-05,9.04052219036697e-05,9.90941505376344e-05,2.99217121311475e-05,3.62658512020793e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",1.4529992141264e-130,2.45556867187362e-128,0.000557084433432836,0.00134137090887574,0.00114980643864679,0.000422750416367981,0.000287060049836066,0.000251639478232619,FALSE
"RSV_genus795","Brevundimonas","Proteobacteria",0.620915627317282,0.668374146602679,3.9569623880597e-06,9.9217023668639e-06,4.30736255733945e-05,3.63783602150538e-05,0.000321938682622951,4.60031968810916e-06,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.087269445166065,0.119906798642805,9.61891271641791e-05,1.0115650295858e-05,1.7283318233945e-05,4.33218978494624e-05,7.66637855737705e-05,2.83290480831709e-05,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.308529587374482,0.377836958451358,4.61078047761194e-05,7.54598934911243e-05,3.83339466743119e-05,0.000129311178016726,0.000100729845245902,8.83303482781027e-05,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.88797566621053,0.898610105326824,8.66744656716418e-06,6.80117455621302e-06,1.15083870412844e-05,0.000118238651732378,0.000475730287213115,2.91631338531514e-05,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.129548094146831,0.175149023286516,4.50668119402985e-06,4.35920828402367e-06,2.07229128440367e-06,1.6927353046595e-05,8.8532393442623e-06,2.15557374918778e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.499298755620946,0.562543264666266,1.34776835820896e-05,1.60584106508876e-05,1.57073176605505e-05,3.48466493428913e-05,1.88020445901639e-05,1.26749109811566e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.154185366971295,0.205859544978463,3.22062686567164e-06,1.61531479289941e-06,3.07437339449541e-05,6.42300238948626e-06,2.25597639344262e-05,1.07137050032489e-05,FALSE
