"OTU","Genus","Phylum","p_value","p_adj_BH","control","Tooth.decay","in_top_panel"
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",0.0024988356697648,0.0051500393681738,0.00169945347613571,0.0017508856946947,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.0252610301154681,0.0410491739376357,0.00010344396147211,7.53225715715716e-05,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.199340940748831,0.268164271073101,0.000106571151236343,0.000182242464464464,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.608713059059777,0.66800329208508,0.000136793155261645,7.90554064064064e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",3.40974975938401e-24,1.6006880814886e-23,1.25421506612996e-07,1.4372027027027e-05,FALSE
"RSV_genus698","Bulleidia","Firmicutes",3.03449522111673e-34,1.76837824954734e-33,0.000202904294422082,0.000498658957957957,FALSE
"RSV_genus703","Eggerthia","Firmicutes",1.03958023019494e-51,1.1712603926863e-50,3.84477538815411e-05,0.00019358502002002,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",1.52616732462347e-08,4.22823406330109e-08,5.022932719954e-07,3.71287887887888e-06,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",2.43637227953326e-32,1.3724897174704e-31,2.92871270845313e-05,8.14521521521521e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.0502872707600961,0.077259534167784,1.57441173087982e-05,2.93479109109109e-05,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.00335825847023788,0.00683789977674943,0.00273399482518689,0.00309550609409409,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.0537453425971491,0.0818284945848486,1.9686443933295e-05,4.31100450450451e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",1.09270397581831e-71,3.07778286522157e-70,0.000415146795284647,0.00154557774974975,TRUE
"RSV_genus728","Centipeda","Firmicutes",4.91183101139226e-20,1.97642724029832e-19,1.65776256469235e-05,0.000128001615615616,FALSE
"RSV_genus729","Dialister","Firmicutes",1.10419069917454e-47,1.03671237866943e-46,0.00160505195917194,0.00290928813813814,TRUE
"RSV_genus731","Megasphaera","Firmicutes",0.0102288202569415,0.0192074513713679,0.00502101981828638,0.00539181500600602,FALSE
"RSV_genus735","Selenomonas","Firmicutes",9.20602901789323e-55,1.19678377232612e-53,0.000323949359401955,0.00100948565265265,FALSE
"RSV_genus736","Selenomonas 3","Firmicutes",1.77937096759619e-09,5.27567883375009e-09,0.001396862493387,0.00160476814114114,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",4.40469202677133e-51,4.37878207367267e-50,3.5717937320299e-05,0.000151687327327327,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.0738563244217215,0.110457688736911,0.0598304214519838,0.0573946157797797,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",2.78499645332615e-20,1.1766610015303e-19,0.0217296502156412,0.0294936656706707,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",0.00449911520247576,0.00894529963786357,0.0180127312386429,0.0187647038808809,TRUE
"RSV_genus749","Sneathia","Fusobacteria",0.0260871400942415,0.0419878731040648,4.01328729154687e-05,5.55893833833834e-05,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",0.114487448418099,0.162591418341669,0.000663711122484187,0.000757074559559558,FALSE
"RSV_genus795","Brevundimonas","Proteobacteria",0.135144477379339,0.188755509728168,0.000166606994249569,5.49955955955956e-06,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.0607426854672312,0.0916563736068042,0.000175726398504888,9.16267867867868e-06,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.808477690959933,0.848650495479682,0.000161630732604945,0.000151978530530531,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.32863864997477,0.414477103326389,0.000121645485911443,4.42739439439439e-06,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.239029591138965,0.313147293817714,2.05569810235768e-05,1.08557947947948e-05,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.488511272837993,0.561621803466809,3.00523732029902e-05,6.21734014014014e-05,FALSE
"RSV_genus969","Sphingobium","Proteobacteria",0.656542405401022,0.706723990527214,3.20487809085681e-06,9.02403803803804e-06,FALSE
"RSV_genus971","Sphingomonas","Proteobacteria",0.248043461035774,0.322456499346506,0.000164611238642898,0.000120809194194194,FALSE
"RSV_genus990","Sutterella","Proteobacteria",0.0127821227734064,0.0229362242637197,4.81247268545141e-06,1.12763993993994e-05,FALSE
"RSV_genus991","Burkholderia","Proteobacteria",0.00708569236618858,0.0137641610331709,0.000208883245543416,0.00010859091991992,FALSE
"RSV_genus993","Lautropia","Proteobacteria",3.02957187111092e-09,8.67792620708042e-09,0.00156281717711328,0.0010179605995996,FALSE
"RSV_genus998","Ralstonia","Proteobacteria",3.2804651899243e-12,1.02666410573557e-11,0.000307261483036228,0.00056517664964965,FALSE
"RSV_genus1007","Curvibacter","Proteobacteria",2.26588254254483e-12,7.36411826327068e-12,8.56926618746405e-05,4.21736916916917e-05,FALSE
"RSV_genus1017","Ottowia","Proteobacteria",0.893509137897053,0.904209846135341,0.000437078679125934,0.000548097636636637,FALSE
"RSV_genus1018","Pelomonas","Proteobacteria",0.199933125178762,0.268164271073101,0.000492537334100057,0.000358252033033033,FALSE
"RSV_genus1032","Xenophilus","Proteobacteria",0.446341927911153,0.52021921253093,8.19653076480736e-06,4.62909509509509e-06,FALSE
"RSV_genus1040","Massilia","Proteobacteria",0.621470426258848,0.675180559609124,4.60599815986199e-05,1.94662012012012e-05,FALSE
"RSV_genus1054","Alysiella","Proteobacteria",1.07339172708264e-05,2.48497536817761e-05,8.63371414606095e-05,5.74168688688689e-05,FALSE
"RSV_genus1058","Conchiformibius","Proteobacteria",0.833908934027676,0.864604968409063,1.15619718228867e-05,6.02521121121121e-06,FALSE
"RSV_genus1060","Eikenella","Proteobacteria",0.00246475691772623,0.00514251751970041,0.000156128761932145,0.000196743645645646,FALSE
"RSV_genus1061","Kingella","Proteobacteria",0.00224106019088138,0.00479416673745511,0.000667661495687177,0.00053768522022022,FALSE
"RSV_genus1063","Neisseria","Proteobacteria",4.19178368295226e-09,1.18068573736489e-08,0.0281957315756182,0.0222606905335335,TRUE
"RSV_genus1064","Simonsiella","Proteobacteria",0.00230316388150213,0.00486543369967325,7.36375664174813e-05,4.73588878878879e-05,FALSE
"RSV_genus1076","Dechloromonas","Proteobacteria",0.518531195039267,0.588132697729102,0.00023224350546291,5.42021561561562e-05,FALSE
"RSV_genus1079","Propionivibrio","Proteobacteria",0.100095094624266,0.145828198202594,2.67045255894192e-06,2.67891191191191e-06,FALSE
"RSV_genus1082","Zoogloea","Proteobacteria",0.439711643369882,0.51605047034382,7.31458941920644e-06,5.90729429429429e-06,FALSE
"RSV_genus1090","Desulfobulbus","Proteobacteria",1.29836208168646e-70,3.13461702578588e-69,2.93138953421506e-05,0.000169844838838839,FALSE
"RSV_genus1095","Desulfomicrobium","Proteobacteria",2.52954459676953e-27,1.29543344501227e-26,1.32617147786084e-05,7.57352332332333e-05,FALSE
"RSV_genus1096","Bilophila","Proteobacteria",0.167864225568555,0.232533230500703,1.02342794709603e-05,3.38506506506506e-05,FALSE
"RSV_genus1097","Desulfovibrio","Proteobacteria",2.51284462471405e-34,1.5166812199167e-33,7.65892926969523e-06,4.42207547547547e-05,FALSE
"RSV_genus1133","Campylobacter","Proteobacteria",2.42936834513656e-09,7.07867672979445e-09,0.0041552433548016,0.00518844821521521,TRUE
"RSV_genus1137","Rs-M59 termite group","Proteobacteria",2.31508932358619e-14,8.15104366012638e-14,1.05138872915469e-06,2.05548298298298e-05,FALSE
"RSV_genus1139","Wolinella","Proteobacteria",3.92657968818811e-25,1.8959770494394e-24,3.23192754456584e-06,2.29484464464464e-05,FALSE
"RSV_genus1161","Cardiobacterium","Proteobacteria",2.07312710682011e-07,5.39013047773228e-07,0.000553268848188614,0.000393221388388388,FALSE
"RSV_genus1181","Escherichia/Shigella","Proteobacteria",0.199710103407946,0.268164271073101,0.00136681951006326,0.00143446028928929,FALSE
"RSV_genus1188","Pantoea","Proteobacteria",0.361673124577855,0.441862286849657,2.25001518113859e-05,0.000461981930930931,FALSE
"RSV_genus1198","Yersinia","Proteobacteria",0.852844337413769,0.878845689164189,0.000144812495687177,0.000182468482482483,FALSE
"RSV_genus1228","Actinobacillus","Proteobacteria",3.99886599430949e-07,9.93835813291624e-07,0.00591962716388728,0.00449743955055055,TRUE
"RSV_genus1229","Aggregatibacter","Proteobacteria",3.57210685788747e-07,9.01023968631317e-07,0.00409442803392755,0.00655639945045045,TRUE
"RSV_genus1233","Haemophilus","Proteobacteria",5.08075936866229e-15,1.82691134745516e-14,0.0604804830661299,0.047641456982983,TRUE
"RSV_genus1234","Mannheimia","Proteobacteria",2.22230662325911e-16,8.34599598512867e-16,0.00158433579413456,0.000731896984984985,TRUE
"RSV_genus1238","Acinetobacter","Proteobacteria",0.106749156771832,0.152886504190166,0.00157428155664175,0.000398862547547548,FALSE
"RSV_genus1241","Moraxella","Proteobacteria",0.59850634386963,0.661095242574951,0.0003804933640023,0.000261885361361362,FALSE
"RSV_genus1246","Azomonas","Proteobacteria",0.346402161457038,0.427313615228025,0.000201279817136285,1.05648708708709e-05,FALSE
"RSV_genus1248","Pseudomonas","Proteobacteria",0.0205640549180257,0.0337410221470519,0.00101487646866015,0.000510213215215215,FALSE
"RSV_genus1257","Aliivibrio","Proteobacteria",0.0139994634289699,0.0246448887447491,4.02729459459459e-05,2.20231471471471e-05,FALSE
"RSV_genus1282","Stenotrophomonas","Proteobacteria",0.223942939963548,0.295674662920622,0.000291133986774008,0.000680851549549549,FALSE
"RSV_genus1285","Xanthomonas","Proteobacteria",0.126325726369508,0.177908731303724,5.6651062679701e-05,1.55692072072072e-05,FALSE
"RSV_genus1299","Candidatus Saccharimonas","Saccharibacteria",0.893377055152479,0.904209846135341,3.10263059229442e-05,3.42735365365365e-05,FALSE
"RSV_genus1307","Treponema 2","Spirochaetae",4.50190782902543e-89,1.90205605776324e-87,0.00175020814893617,0.0069348012932933,TRUE
"RSV_genus1309","Fretibacterium","Synergistetes",4.85750536082855e-93,4.10459202990012e-91,0.000182396286371478,0.000862637847847847,FALSE
"RSV_genus1311","Pyramidobacter","Synergistetes",2.54707264837775e-30,1.3451727424245e-29,7.24627947096032e-06,2.151703003003e-05,FALSE
"RSV_genus1314","Acholeplasma","Tenericutes",7.06134073156792e-36,4.58987147551915e-35,3.46086164462335e-05,0.000380335399399399,FALSE
"RSV_genus1322","Mycoplasma","Tenericutes",2.26509473034404e-70,4.78501261785178e-69,0.00028750595399655,0.00103411212812813,TRUE
"RSV_genus1333","Opitutus","Verrucomicrobia",0.0286463508562528,0.0456720122142143,3.46701265094882e-06,3.02882782782783e-06,FALSE
"RSV_genus1344","Akkermansia","Verrucomicrobia",0.299621814703046,0.383606717309202,9.14789413456009e-05,0.000271572022022022,FALSE
