"OTU","Genus","Phylum","p_value","p_adj_BH","X150.184.","Below.50.","X50.99.","X100.124.","X125.149.","X185.199.","X200..and.Over","in_top_panel"
"RSV_genus499","Abiotrophia","Firmicutes",0.219992611518014,0.312426481903734,0.00201679462939297,0.00203220966274971,0.00205279819321817,0.00171064733491124,0.00195808461651917,0.00166502326872247,0.00199746186135346,FALSE
"RSV_genus510","Dolosigranulum","Firmicutes",0.0175223301262385,0.0344156839931379,4.78506549520767e-06,1.55005052878966e-06,2.79309341010877e-06,4.58937278106509e-06,1.67328466076696e-06,1.16196916299559e-06,2.0934149964631e-06,FALSE
"RSV_genus511","Granulicatella","Firmicutes",0.973282451716943,0.979075799643829,0.0247343104121406,0.0244353221128085,0.025694484865643,0.0251421941609467,0.0247314554454277,0.0248976648854626,0.025088452295685,FALSE
"RSV_genus519","Lactobacillus","Firmicutes",1.91629858156732e-21,2.02409037678048e-20,0.00409039631309904,0.00567185332314923,0.00628298477543187,0.00559762885088758,0.00592532616076696,0.00453792553303965,0.0033307935432681,TRUE
"RSV_genus523","Leuconostoc","Firmicutes",0.874155340894847,0.906332838105701,3.50372204472843e-07,1.3143160987074e-06,1.72503390914907e-06,4.66390059171598e-06,5.65460914454277e-06,1.81883259911894e-06,2.05584194765385e-05,FALSE
"RSV_genus525","Weissella","Firmicutes",0.913343793077221,0.92428204209611,1.02241853035144e-06,5.12982491186839e-06,6.20845681381958e-06,4.08227455621302e-06,5.64663716814159e-06,8.64991189427313e-06,8.88914147606696e-05,FALSE
"RSV_genus528","Lactococcus","Firmicutes",0.564359415709373,0.648821369080844,3.81966884984026e-05,4.66603689776733e-05,8.48326621880999e-05,2.25679100591716e-05,0.000345438669616519,4.88087488986784e-05,6.27657538316435e-05,FALSE
"RSV_genus530","Streptococcus","Firmicutes",0.362392236557741,0.450325646898958,0.314707799656549,0.317025605924794,0.321251698528471,0.32635436712071,0.325706008741888,0.332716616405286,0.324553690046922,FALSE
"RSV_genus535","Christensenellaceae R-7 group","Firmicutes",0.667231544145864,0.746769079209609,0.000162082079872204,5.57843349001175e-05,0.000130803364043506,4.69240213017751e-05,5.01947876106195e-05,3.25283436123348e-05,3.76036962980429e-05,FALSE
"RSV_genus538","Clostridium sensu stricto 1","Firmicutes",0.0442914568991679,0.0813614806082541,3.07885974440895e-05,4.99724794359577e-06,1.92527511196417e-06,3.5632426035503e-06,6.79889528023599e-06,1.43976651982379e-06,2.09578842254185e-05,FALSE
