"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoked","X1","X2","X3","X4","X5","in_top_panel"
"RSV_genus627","Oribacterium","Firmicutes",1.85737490223226e-06,5.50695365749565e-06,0.00315840352883762,0.00295953310416667,0.00278368774,0.00253240098461539,0.00330956436666667,0.00269319213182424,FALSE
"RSV_genus630","Shuttleworthia","Firmicutes",2.13817423095494e-06,6.23019732812734e-06,0.000216204900177462,0.000123566958333333,0.0001395455,0.000238832953846154,0.000192720911111111,0.00031898117310253,FALSE
"RSV_genus631","Stomatobaculum","Firmicutes",0.793286263824643,0.832756485935386,0.00262899397471162,0.00238572577083333,0.0021389875,0.00276599243076923,0.00276452843333333,0.00281556002130493,FALSE
"RSV_genus644","Peptococcus","Firmicutes",1.9345118373302e-11,7.97396342704399e-11,0.000805862277284828,0.000518343916666667,0.00062062568,0.000657154769230769,0.000525333744444445,0.00050900742343542,FALSE
"RSV_genus646","Filifactor","Firmicutes",2.70023108026416e-07,8.45072319564153e-07,0.0014498244689441,0.00154350422916667,0.0020877895,0.00235722204615385,0.00182689003333333,0.0022475348828229,FALSE
"RSV_genus649","Peptoclostridium","Firmicutes",0.135621906014291,0.196379046621677,0.000315297643744454,0.000498425583333333,0.00036267924,0.000291903430769231,0.000311888744444444,0.000278622770972037,FALSE
"RSV_genus650","Peptostreptococcus","Firmicutes",1.92896718100414e-22,1.48179751631682e-21,0.00393499345341616,0.0032356028125,0.00302432686,0.00358154047692308,0.00311807252222222,0.00257618476031958,TRUE
"RSV_genus656","Candidatus Soleaferrea","Firmicutes",0.0378070319725566,0.0651978408506333,1.56385093167702e-06,0,3.98e-07,5.94355384615385e-06,1.14561111111111e-06,2.27900758988016e-05,FALSE
"RSV_genus658","Faecalibacterium","Firmicutes",0.271393432040029,0.337246250108565,0.00027003540771961,7.53095416666667e-05,0.00039295104,0.000515898676923077,3.34125333333333e-05,0.00027080589081225,FALSE
"RSV_genus659","Fastidiosipila","Firmicutes",6.37770527816804e-07,1.92470034287571e-06,4.69685314995563e-06,2.5625e-06,3.082192e-05,6.55384615384615e-07,5.40872222222222e-06,1.62799360852197e-05,FALSE
"RSV_genus673","Ruminococcaceae UCG-002","Firmicutes",0.100948920203884,0.150976703667755,4.42916637089618e-05,2.08791666666667e-06,3.257952e-05,0.0004224202,5.9518e-06,0.000140171667110519,FALSE
"RSV_genus674","Ruminococcaceae UCG-003","Firmicutes",0.192357406854495,0.262164530309755,3.4812719609583e-06,4.47314583333333e-06,0,6.73461538461538e-06,5.4e-07,3.28002743009321e-05,FALSE
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",4.4509217944763e-12,1.9287327776064e-11,0.0017877286743567,0.0019339530625,0.00181339148,0.00146232396923077,0.00139140026666667,0.0013797930093209,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.941246359126757,0.946849016026321,6.90831841171251e-05,0,2.51212e-06,7.83076923076923e-07,3.98428888888889e-06,4.58300133155792e-06,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",6.16821029448781e-05,0.000157943566631582,6.99189503105591e-05,0,2.122462e-05,3.60564307692308e-05,5.05221111111111e-06,0.00035357186551265,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.225118777587204,0.296862830091056,8.18610408163265e-05,2.34191041666667e-05,1.920246e-05,6.36436923076923e-06,5.7941e-06,7.10044513981358e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.226599438353528,0.296862830091056,4.68322670807453e-06,1.48650208333333e-05,1.058664e-05,7.8268e-06,3.60777777777778e-06,1.12935046604527e-05,FALSE
"RSV_genus698","Bulleidia","Firmicutes",4.62734468262198e-43,7.82021251363115e-42,0.000289893358473825,0.0001902070625,0.00037750648,0.000515399492307692,0.000419950377777778,0.000858301998668443,FALSE
"RSV_genus703","Eggerthia","Firmicutes",0.0518833608159464,0.0843104613259128,0.000124192449423247,5.65798333333333e-05,0.00014935664,0.000226298384615385,0.000332806144444444,0.000189958422103861,FALSE
