"OTU","Genus","Phylum","p_value","p_adj_BH","Never.smoker","Former.smoker","Current.smoker","in_top_panel"
"RSV_genus683","Ruminococcaceae UCG-014","Firmicutes",6.78330505243794e-11,2.24780108600394e-10,0.0017877286743567,0.00143417356479691,0.0016139557859734,FALSE
"RSV_genus684","Ruminococcus 1","Firmicutes",0.982162842333881,0.982162842333881,6.90831841171251e-05,5.7233500967118e-06,1.62653917775091e-05,FALSE
"RSV_genus685","Ruminococcus 2","Firmicutes",0.0323109727901858,0.0510332187059944,6.99189503105591e-05,0.000113730603481625,7.11501390568319e-05,FALSE
"RSV_genus687","Subdoligranulum","Firmicutes",0.917109272601749,0.933683536564431,8.18610408163265e-05,5.50898442940039e-05,3.42973941958888e-05,FALSE
"RSV_genus689","Pelospora","Firmicutes",0.437550530863445,0.53198589723685,4.68322670807453e-06,1.01666508704062e-05,3.25652116082225e-06,FALSE
"RSV_genus698","Bulleidia","Firmicutes",1.06071203831351e-52,1.99178149416648e-51,0.000289893358473825,0.000798980138297873,0.000386624600967352,FALSE
"RSV_genus703","Eggerthia","Firmicutes",1.2957096326648e-05,3.04131844333822e-05,0.000124192449423247,0.000196607204061896,9.47864171704957e-05,FALSE
"RSV_genus708","Erysipelotrichaceae UCG-004","Firmicutes",0.00724730294277845,0.0123716585588844,1.48125776397516e-06,2.11825241779497e-06,5.48530834340992e-07,FALSE
"RSV_genus709","Erysipelotrichaceae UCG-006","Firmicutes",5.34668855664795e-14,1.96432688276849e-13,6.64415212954747e-05,0.00010187604352031,5.12418597339782e-05,FALSE
"RSV_genus713","Incertae Sedis","Firmicutes",0.00184900860795141,0.00339654842112813,6.38737000887312e-06,2.74204816247582e-05,1.29132357920193e-05,FALSE
"RSV_genus716","Solobacterium","Firmicutes",0.000185898220999844,0.000387861720357698,0.002965478810559,0.00274655888007737,0.00304912989600968,FALSE
"RSV_genus722","Phascolarctobacterium","Firmicutes",0.00617257747306913,0.0107542844633885,9.97405013309672e-06,3.59021914893617e-05,2.5343123337364e-05,FALSE
"RSV_genus726","Anaeroglobus","Firmicutes",2.66343022017714e-28,2.14342717719017e-27,0.000839074377994675,0.00173822564796905,0.000756319193470375,TRUE
"RSV_genus728","Centipeda","Firmicutes",6.08715337364479e-08,1.65924019378382e-07,6.4232772404614e-05,9.4964082205029e-05,5.16514449818622e-05,FALSE
"RSV_genus729","Dialister","Firmicutes",9.2332534876852e-16,4.10636799847052e-15,0.00238379387533274,0.00313035798839458,0.00195621139661427,TRUE
"RSV_genus731","Megasphaera","Firmicutes",1.11770013941146e-15,4.84336727078299e-15,0.00476095922626441,0.00677163910541586,0.00526949343772672,TRUE
"RSV_genus735","Selenomonas","Firmicutes",0.00073010277903685,0.00138637493996885,0.000646191231588289,0.00095922980270793,0.000638793496977025,FALSE
