"OTU","Genus","Phylum","p_value","p_adj_BH","Married","Divorced","Living.with.Partner","Never.Married","Separated","Widowed","in_top_panel"
"RSV_genus736","Selenomonas 3","Firmicutes",0.0172053946994043,0.0299764093216426,0.00154171527446597,0.0014628279731243,0.00164455768366013,0.00143310221318448,0.00156324948717949,0.00132850568363636,FALSE
"RSV_genus737","Selenomonas 4","Firmicutes",5.1935405431948e-11,2.50773814799977e-10,8.91927714853452e-05,0.000104611,0.000156413295424837,0.00011026072301967,0.00013782494551282,6.78686909090909e-05,FALSE
"RSV_genus740","Veillonella","Firmicutes",0.0335346732847724,0.0561124731200646,0.0591902699605066,0.0628137252038074,0.0597028125228758,0.0597839608809144,0.0611014249391025,0.0636234281490909,FALSE
"RSV_genus742","Fusobacterium","Fusobacteria",1.25530346311587e-06,3.65769457356176e-06,0.0272390079448585,0.025656797431131,0.0299463729503268,0.0282611208591175,0.0298785628333333,0.0240981078181818,TRUE
"RSV_genus746","Leptotrichia","Fusobacteria",1.20186245125489e-05,2.90163934660109e-05,0.0201980357789369,0.0181101720358343,0.0181077974823529,0.0173877198139288,0.0201360573782051,0.0186853255454545,TRUE
"RSV_genus749","Sneathia","Fusobacteria",1.2064728359666e-06,3.57708612769043e-06,3.92182702434178e-05,9.06084568868981e-05,4.32094235294118e-05,6.73636852737906e-05,0.000208581256410256,0.000124275290909091,FALSE
"RSV_genus750","Streptobacillus","Fusobacteria",1.190325799695e-14,7.45055778327608e-14,0.000460116960506707,0.000320080537513998,0.000938282075816994,0.000692753627857522,0.000735694753205128,0.000287045963636364,TRUE
"RSV_genus795","Brevundimonas","Proteobacteria",0.56937070874288,0.67289265578704,1.79648589170392e-05,2.61770884658455e-05,0.000304970575163399,0.000165091645933014,2.81966666666667e-06,9.44723636363636e-07,FALSE
"RSV_genus819","Bradyrhizobium","Proteobacteria",0.63851713476471,0.722319734474595,7.26743181818182e-05,5.48759574468085e-06,1.41333843137255e-05,5.94841557682084e-05,4.08071153846154e-06,1.02846690909091e-05,FALSE
"RSV_genus846","Methylobacterium","Proteobacteria",0.986048482664053,0.9891636936401,0.000121619935916542,2.1437562150056e-05,6.28617738562092e-05,3.58901137692717e-05,1.87043493589744e-05,7.23104909090909e-05,FALSE
"RSV_genus895","Paracocccus","Proteobacteria",0.186107600220175,0.262101536976747,0.000238852495529061,6.08970996640537e-06,2.33345490196078e-06,1.71200372142477e-05,4.78150320512821e-06,1.28321454545455e-06,FALSE
"RSV_genus960","Porphyrobacter","Proteobacteria",0.22809994163702,0.310878146263358,1.02825538996523e-05,7.42136506159015e-06,1.40086535947712e-06,2.67320467836257e-06,3.99529487179487e-06,3.44160363636364e-06,FALSE
"RSV_genus964","Blastomonas","Proteobacteria",0.786669522228364,0.841437653522744,2.30165625931446e-05,1.55189182530795e-05,1.81193751633987e-05,1.42581456671983e-05,1.83613621794872e-05,1.29056909090909e-05,FALSE
