"Variable","Metric","Group1","Group2","P_value","P_value_FDR","Significant"
"Marital_status","Beta Diversity ( Unwunifrac )","Living with partner","Separated",0.324062906738698,0.324062906738698,FALSE
"Marital_status","Beta Diversity ( Unwunifrac )","Living with partner","Widowed",0.0146918590789691,0.0146918590789691,TRUE
"Marital_status","Beta Diversity ( Unwunifrac )","Never married","Separated",0.0887047863275485,0.0887047863275485,FALSE
"Marital_status","Beta Diversity ( Unwunifrac )","Never married","Widowed",0.000847778906268705,0.000847778906268705,TRUE
"Marital_status","Beta Diversity ( Unwunifrac )","Separated","Widowed",0.196406335357318,0.196406335357318,FALSE
"Interview_language","Beta Diversity ( Braycurtis )","English","Spanish",0.000126426388135509,0.000126426388135509,TRUE
"Interview_language","Beta Diversity ( Unwunifrac )","English","Spanish",0.0032612665233959,0.0032612665233959,TRUE
"Denture","Beta Diversity ( Braycurtis )","control","Denture",2.6655305038522e-10,2.6655305038522e-10,TRUE
"Denture","Beta Diversity ( Unwunifrac )","control","Denture",2.0046921143337e-15,2.0046921143337e-15,TRUE
"Denture","Beta Diversity ( Wunifrac )","control","Denture",0.000111885693721527,0.000111885693721527,TRUE
"Gum_disease","Beta Diversity ( Braycurtis )","control","Gum disease",8.63494476120507e-20,8.63494476120507e-20,TRUE
"Gum_disease","Beta Diversity ( Unwunifrac )","control","Gum disease",2.53763097799293e-12,2.53763097799293e-12,TRUE
"Gum_disease","Beta Diversity ( Wunifrac )","control","Gum disease",0.000265131444585368,0.000265131444585368,TRUE
"Oral_hygiene","Beta Diversity ( Braycurtis )","control","Poor oral hygiene",1.85582555585573e-13,1.85582555585573e-13,TRUE
"Oral_hygiene","Beta Diversity ( Unwunifrac )","control","Poor oral hygiene",1.05115784555574e-05,1.05115784555574e-05,TRUE
"Oral_hygiene","Beta Diversity ( Wunifrac )","control","Poor oral hygiene",0.00424042747788424,0.00424042747788424,TRUE
